number,survey_id,push_id,crowd_id,crowd_name,record_id,q1_1.过去2年内，您购买过以下哪些产品？_手机贴膜,q1_2.过去2年内，您购买过以下哪些产品？_手机壳,q1_3.过去2年内，您购买过以下哪些产品？_手机充电线/数据线,q1_4.过去2年内，您购买过以下哪些产品？_充电宝/移动电源,q1_5.过去2年内，您购买过以下哪些产品？_无线蓝牙耳机,q1_6.过去2年内，您购买过以下哪些产品？_智能手表/手环,q1_7.过去2年内，您购买过以下哪些产品？_平板电脑,q1_8.过去2年内，您购买过以下哪些产品？_平板电脑保护套/壳,q1_9.过去2年内，您购买过以下哪些产品？_鼠标/机械键盘,q1_10.过去2年内，您购买过以下哪些产品？_贴片面膜,q1_11.过去2年内，您购买过以下哪些产品？_洗面奶/洁面乳,q1_12.过去2年内，您购买过以下哪些产品？_直升机,q1_13.过去2年内，您购买过以下哪些产品？_抽纸/卷纸,q1_14.过去2年内，您购买过以下哪些产品？_洗衣液/洗衣凝珠,q1_15.过去2年内，您购买过以下哪些产品？_T恤/裙子,q1_16.过去2年内，您购买过以下哪些产品？_运动鞋,q1_17.过去2年内，您购买过以下哪些产品？_薯片/膨化食品,q1_18.过去2年内，您购买过以下哪些产品？_奶茶/咖啡,q1_19.过去2年内，您购买过以下哪些产品？_室内绿植/花卉,q1_20.过去2年内，您购买过以下哪些产品？_桌面收纳,q2.您最近一次购买平板保护套大约是在什么时候？,q3.您最近购买的平板保护套单价大约是多少？,q4.您在购买该平板保护套时的决策角色是？,q5.您目前主要使用的平板电脑品牌是？,q6_1.您本人或您的亲友是否在以下行业工作？_市场研究/调研公司,q6_2.您本人或您的亲友是否在以下行业工作？_广告/公关/媒体传播机构,q6_3.您本人或您的亲友是否在以下行业工作？_数码配件生产、销售、运营相关行业,q6_4.您本人或您的亲友是否在以下行业工作？_新闻/报纸/电视台/自媒体,q6_5.您本人或您的亲友是否在以下行业工作？_互联网/IT/软件服务,q6_6.您本人或您的亲友是否在以下行业工作？_医疗/健康/生物制药,q6_7.您本人或您的亲友是否在以下行业工作？_教育/培训/科研,q6_8.您本人或您的亲友是否在以下行业工作？_以上均无,q7_1.过去3个月内，您参加过以下哪些类型的调研活动？_手机/数码配件类,q7_2.过去3个月内，您参加过以下哪些类型的调研活动？_汽车/交通出行类,q7_3.过去3个月内，您参加过以下哪些类型的调研活动？_食品/饮料/餐饮类,q7_4.过去3个月内，您参加过以下哪些类型的调研活动？_美妆/个人护理类,q7_5.过去3个月内，您参加过以下哪些类型的调研活动？_均未参加过,q8.您的最高学历是？,q9_1.您目前使用的平板保护套类型更接近以下哪一种？_单壳（不带盖板）保护套,q9_2.您目前使用的平板保护套类型更接近以下哪一种？_普通翻盖保护套,q9_3.您目前使用的平板保护套类型更接近以下哪一种？_ 磁吸不可拆分保护套,q9_4.您目前使用的平板保护套类型更接近以下哪一种？_旋转可拆分磁吸保护套,q9_5.您目前使用的平板保护套类型更接近以下哪一种？_带笔槽保护套,q9_6.您目前使用的平板保护套类型更接近以下哪一种？_键盘保护套,q9_7.您目前使用的平板保护套类型更接近以下哪一种？_透明/半透明保护壳,q9_8.您目前使用的平板保护套类型更接近以下哪一种？_不确定,q9_9.您目前使用的平板保护套类型更接近以下哪一种？_其他,q9_9_text.您目前使用的平板保护套类型更接近以下哪一种？_其他,q10_1.您购买平板保护套时，通常会关注哪些因素？_防摔防磕/保护性强,q10_2.您购买平板保护套时，通常会关注哪些因素？_支架稳定/角度好用,q10_3.您购买平板保护套时，通常会关注哪些因素？_触控笔收纳和拿取方便,q10_4.您购买平板保护套时，通常会关注哪些因素？_材质手感好,q10_5.您购买平板保护套时，通常会关注哪些因素？_不易沾指纹/不易显脏,q10_6.您购买平板保护套时，通常会关注哪些因素？_外观好看/有设计感,q10_7.您购买平板保护套时，通常会关注哪些因素？_颜色选择丰富,q10_8.您购买平板保护套时，通常会关注哪些因素？_轻薄便携,q10_9.您购买平板保护套时，通常会关注哪些因素？_品牌可信/品质稳定,q10_10.您购买平板保护套时，通常会关注哪些因素？_价格合适/性价比高,q10_11.您购买平板保护套时，通常会关注哪些因素？_耐用不易坏,q10_12.您购买平板保护套时，通常会关注哪些因素？_与平板搭配协调,q10_13.您购买平板保护套时，通常会关注哪些因素？_其他,q10_13_text.您购买平板保护套时，通常会关注哪些因素？_其他,q11_1.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_防摔防磕/保护性强,q11_2.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_支架稳定/角度好用,q11_3.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_触控笔收纳和拿取方便,q11_4.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_材质手感好,q11_5.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_不易沾指纹/不易显脏,q11_6.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_外观好看/有设计感,q11_7.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_颜色选择丰富,q11_8.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_轻薄便携,q11_9.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_品牌可信/品质稳定,q11_10.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_价格合适/性价比高,q11_11.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_耐用不易坏,q11_12.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_与平板搭配协调,q11_13.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_其他,q12.如果购买一款质量、保护性和外观设计都比较好的iPad平板保护套，在不考虑具体品牌和促销活动的情况下，以下哪个价格区间最符合您的日常心理预期？,q13.未来6个月内，您是否有购买或更换平板保护套的计划？,q14.下面是一款市面上常见的【普通款】旋转磁吸拆分平板保护壳，售价为99元。 该产品支持磁吸拆分、横竖屏旋转和日常支撑使用，可满足看剧、学习、办公等平板使用场景。请根据您自己的真实购买判断作答以下题目。,q15_1.如果您近期需要购买平板保护套，看到这款99元旋转磁吸拆分平板保护壳，您的购买意愿是？_ 购买意愿,q16_1.您认为这款99元旋转磁吸拆分平板保护壳对您的吸引力如何？_ 吸引力,q17_1.您觉得这款产品最吸引您的地方是？_可旋转使用,q17_2.您觉得这款产品最吸引您的地方是？_磁吸拆分方便,q17_3.您觉得这款产品最吸引您的地方是？_支撑看剧/学习/办公,q17_4.您觉得这款产品最吸引您的地方是？_价格合适,q17_5.您觉得这款产品最吸引您的地方是？_外观看起来简洁,q17_6.您觉得这款产品最吸引您的地方是？_保护性较好,q17_7.您觉得这款产品最吸引您的地方是？_品牌/品质感较好,q17_8.您觉得这款产品最吸引您的地方是？_没有特别吸引我的地方,q17_9.您觉得这款产品最吸引您的地方是？_其他,q17_9_text.您觉得这款产品最吸引您的地方是？_其他,q18.下面是一款在刚才99元【普通款】旋转磁吸拆分平板壳基础上进一步升级的新款产品。该【升级光面款】在保留磁吸拆分、横竖屏旋转和支撑使用功能的基础上，新增了以下三个升级点： ①四角气囊防护外显，提升防摔防磕的安全感； ②重新设计侧面直取笔槽，触控笔可从侧面直接拿取； ③提供更丰富、更个性化的配色选择。 请您先不考虑具体售价，只根据产品外观、功能和使用感受进行判断。,q19_1.不考虑价格，您对这款升级光面款平板保护套的购买意愿是？_ 购买意愿,q20_1.请评价以下升级点对您的吸引力。_四角气囊防护外显,q20_2.请评价以下升级点对您的吸引力。_侧面直取笔槽,q20_3.请评价以下升级点对您的吸引力。_更丰富、更个性化的配色选择,q21.相比刚才99元的【普通款】旋转磁吸拆分平板保护壳，如果新款增加“四角气囊防护外显、侧面直取笔槽、个性化配色”这三个升级点，您最多愿意多支付多少钱？,q22.如果这款升级光面款 iPad 平板保护套售价为 119.9 元，您的购买意愿是？,q23.如果同一款升级光面款 iPad 平板保护套售价为 129.9 元，您的购买意愿是？,q24.如果同一款升级光面款 iPad 平板保护套售价为 139.9 元，您的购买意愿是？,q25.如果同一款升级光面款 iPad 平板保护套售价为 109.9 元，您的购买意愿是？,q26.如果同一款升级光面款 iPad 平板保护套售价为 99.9 元，您的购买意愿是？,q27_text.您愿意或不愿意为这三个升级点多付钱的主要原因是什么,q28.下面是一款在刚才升级光面款基础上进一步升级的【光栅款】平板保护套。 它保留前面【升级光面款】的四角气囊防护外显、侧面直取笔槽和个性化配色，同时将背板进一步升级为光栅纹理背板，具有微磨砂质感，相比普通光面背板更不易沾指纹。 除背板材质和纹理表现外，其他主要功能与升级光面款基本一致。 请您先不考虑具体售价，只根据产品外观、材质和使用感受进行判断。,q29_1.不考虑价格，您对这款光栅款平板保护套的购买意愿是？_ 购买意愿,q30_1.请评价以下光栅背板特点对您的吸引力。_光栅纹理背板的视觉效果,q30_2.请评价以下光栅背板特点对您的吸引力。_微磨砂质感,q30_3.请评价以下光栅背板特点对您的吸引力。_相比普通光面背板更不易沾指纹,q30_4.请评价以下光栅背板特点对您的吸引力。_整体看起来更特别/更有设计感,q31.基于刚才的升级光面款，如果背板进一步升级为了现在这样“光栅纹理、微磨砂质感、不易沾指纹”，您最多愿意额外多支付多少钱？,q32.如果这款光栅款 iPad 平板保护套售价为 129.9 元，您的购买意愿是？,q33.如果这款光栅款 iPad 平板保护套售价为 139.9 元，您的购买意愿是？,q34.如果这款光栅款 iPad 平板保护套售价为 149.9 元，您的购买意愿是？,q35.如果这款光栅款 iPad 平板保护套售价为 119.9 元，您的购买意愿是？,q36.如果这款光栅款 iPad 平板保护套售价为 109.9 元，您的购买意愿是？,q37_text.您愿意或不愿意为光栅背板多付钱的主要原因是什么？,q38.如果品牌最终只能在以下两款新品中选择一款推出，您更希望购买哪一款？,q39_text.请简单说明您这样选择的主要原因。,q40.您购买数码配件时，是否愿意为外观设计、材质质感或颜色支付更高价格？,q41.您的性别是？,q42.您的年龄是？,q43.您目前的身份/职业是？,城市等级,购买力等级,人生阶段,常用收货省份,常用收货城市
1,286083,726476,1024659,3C数码,88844227,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,5,1,1,,,,,,,1,,,,1,,,4,,,1,,,,,,,,1,1,,1,1,1,1,1,1,,1,1,,,2,5,,3,9,7,8,6,1,,10,4,,5,2,1,2,2,,,1,,1,,,,,,1,2,2,2,2,3,2,2,2,,,没有不愿意,1,3,3,3,3,3,2,3,,,2,,不太喜欢,1,简洁,2,1,3,3,三线,低,未知,湖北省,襄阳市
2,286083,726476,1024659,3C数码,88846219,,1,1,1,1,1,,1,1,,,,1,,,1,,1,,1,1,5,1,1,,,,,,,,1,,,,,1,4,,,1,1,,,,,,,1,1,,1,,1,,1,,1,1,,,,2,3,,5,,4,,1,,6,7,,,5,2,1,2,2,1,1,,1,1,,,,,,1,1,1,2,1,5,1,1,2,,,之前119.9和129.9已经让我先入为主了，觉得这价格很合适，再贵上去就要犹豫一下了，跟升级点倒是没什么关系,1,1,1,1,2,1,6,1,1,1,,,我很喜欢这种设计，比之前那种光溜溜的拿起来手感要好很多，而且视觉效果更棒,2,光面款比起光栅款，看上去稍显廉价，而且手感不如后者，更何况后者还能防止指纹，视觉效果好很多，显得高级。,2,1,5,2,一线,高,"已婚,育婴期,孝敬期",上海,上海市
3,286083,726476,1024659,3C数码,88846224,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,,,1,1,6,1,1,,,,,,,,1,,,,,1,4,,,,,,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,6,4,8,5,7,3,12,11,10,9,1,2,,6,1,1,2,2,1,1,1,1,1,1,1,,,,1,2,1,1,2,4,2,2,2,,,防护性能更好，笔槽拿取更便捷，适合日常使用,1,1,1,1,1,1,6,1,1,2,,,手感更舒适，更防滑，不留指纹，看着更高级,2,视觉效果更好，看上去更高级。同时更防滑，不留指纹,1,1,3,2,二线,低,未知,辽宁省,沈阳市
4,286083,726476,1024659,3C数码,88846229,,,,,,,,1,,,,,,,,,,,,,1,7,1,1,,,,,,,,1,,,,,1,4,1,,,,1,1,,,,,1,1,1,,,,,1,1,,,,,,1,2,5,,,,,3,4,,,,,5,1,1,2,1,1,1,,,,1,,,,,1,1,1,3,2,3,2,2,3,,,升级不是很明显 更喜欢功能上面的升级 而不是手感,1,2,3,4,2,2,2,2,4,,,,比起光滑的有点不耐看,1,光面外观的更好看 光滑 ,2,1,3,6,六线,中等,未知,陕西省,商洛市
5,286083,726476,1024659,3C数码,88898325,1,1,,1,1,1,1,1,1,1,1,,,1,,,,1,1,,1,6,1,1,,,,,,,,1,,,,,1,5,,,,,,1,,,,,1,1,1,1,1,1,1,1,1,,1,1,,,3,2,8,6,10,5,11,7,1,,9,4,,6,2,1,2,2,1,1,1,,1,1,1,,,,1,1,1,1,2,6,1,1,1,,,升级的电视都在我的喜好上，看起来很好高级，也很好安全,1,1,1,1,2,1,5,1,1,1,,,增加更多高级感，突显品味,2,很好高级，更有质感,1,2,3,2,二线,低,"已婚,育婴期,装修期,已有房",安徽省,合肥市
6,286083,726476,1024659,3C数码,88898358,,1,1,1,,1,1,1,,,,,1,,,1,,,1,,1,5,1,1,,,,,,,,1,,,,,1,4,,,1,1,1,,,,,,1,1,,1,,,,1,1,,1,,,,2,6,,3,,,,4,1,,5,,,4,1,1,1,1,1,1,,,,1,1,,,,1,1,2,1,1,4,1,2,2,,,价值不太值，超出预期,1,1,1,1,1,1,6,1,1,2,,,有点贵，价格不太合适入手,1,价格一样的话，这款比较好看并且方便，不会坏的快，颜色也不错,1,1,3,3,一线,偏低,"已婚,育婴期,已育,已有房,已有车",广东省,深圳市
7,286083,726476,1024659,3C数码,88898407,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,5,1,1,,,,,,,,1,,,,,1,4,,,1,1,,1,,,,,1,1,1,1,1,1,1,1,1,,1,1,,,1,3,4,9,2,10,11,8,7,,5,6,,5,2,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,2,5,1,1,1,,,四脚气囊升级，平板最容易遇到的以及最心疼的碎屏问题是最最关键的核心，所以愿意多支付,1,1,1,2,1,1,5,1,1,1,,,一机多态，很吸引人，满足平板各个角度使用情况,1,材料质感提升，和日常使用场景更搭，不易沾指纹细节好评,1,2,3,4,一线,偏低,准备结婚期,上海,上海市
8,286083,726476,1024659,3C数码,88898423,1,1,,1,1,1,1,1,1,1,1,,1,,1,1,,1,,,1,5,1,1,,,,,,,,1,,,,,1,4,,,1,,,,,,,,1,1,1,,,,,,,1,,,,,1,3,4,,,,,,,2,,,,5,1,1,2,1,,1,,1,,1,,,,,1,2,2,1,1,5,2,2,3,,,没钱,1,3,3,3,2,3,3,2,3,,,,价格高,1,功能满足,2,1,3,6,一线,偏高,单身,广东省,深圳市
9,286083,726476,1024659,3C数码,88898446,1,1,1,1,1,1,1,1,1,1,1,,,1,,1,1,1,,1,1,5,1,1,,,,,,,,1,,,,,1,4,1,,1,,,1,,,,,,,,,,,,1,1,,1,1,,,,,,,,,,3,1,,2,4,,5,2,1,2,1,,1,,1,,1,1,,,,1,2,1,2,2,4,2,2,3,,,愿意从防护和配色轻便角度多付点钱,1,3,2,1,2,2,3,3,,,2,,外观设计感不错，防滑和防指纹值得多一点钱,1,比较喜欢光面一些，光栅版花哨了一点,2,2,3,2,二线,低,未知,湖北省,武汉市
10,286083,726476,1024659,3C数码,88898467,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,4,1,1,,,,,,,,1,,,,,1,4,,,1,,,,,,,,1,1,,1,1,1,,,1,,,,,,1,5,,3,6,4,,,2,,,,,4,2,1,1,1,1,1,,,,1,1,,,,1,1,1,1,1,3,1,1,2,,,有一些不太重要,1,1,1,1,1,1,3,1,2,3,,,并没有那么重要,3,两款的功能都差不多,1,1,4,4,二线,中等,未知,江苏省,无锡市
11,286083,726476,1024659,3C数码,88898477,1,1,1,1,1,1,1,1,,,1,,1,1,1,1,1,1,,,1,2,1,1,,,,,,,1,,,,,,1,4,,,1,,,,,,,,1,1,,,,,,,,1,1,,,,1,4,,,,,,,,3,2,,,2,1,1,2,2,1,1,1,,,1,,,,,1,2,2,2,2,3,2,4,,,,价格不是我最想要的,1,2,2,2,2,2,3,4,,,4,4,还是有点贵了,1,外观好看,2,1,3,2,二线,中等,"准备结婚期,育婴期,已育",广东省,佛山市
12,286083,726476,1024659,3C数码,88898482,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,,1,1,5,1,1,,,,,,,,1,,,,,1,4,1,1,,,,,1,,,,1,1,1,,1,,,1,1,,1,1,,,6,5,3,,2,,,4,1,,8,7,,5,2,1,1,2,1,1,1,1,1,1,1,,,,1,1,1,1,2,5,1,1,2,,,各方面都符合我的需求，价钱也在接受范围。,1,1,1,1,1,2,6,1,1,2,,,各方面都符合需求，愿意多付钱的原因是防指纹。,2,更喜欢防指纹的，防指纹的更值得加钱价钱贵一点也无所谓。,1,1,3,3,六线,高,"已婚,育婴期,已育,已有车",广东省,云浮市
13,286083,726476,1024659,3C数码,88898497,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,6,1,1,,,,,,,,1,,,,,1,4,,,,1,,1,,,,,1,1,1,1,,,1,1,,1,,1,,,5,4,6,7,,,8,1,,3,,2,,6,1,1,1,1,1,1,1,,1,1,,,,,1,2,1,1,2,4,2,1,2,,,颜色简洁一点即可，不必为了颜色多花钱。,1,1,1,1,2,1,4,2,2,1,,,四个角加了保护。,1,喜欢简约的款式。,2,1,4,3,二线,中等,"已婚,育婴期,已育,已有房,已有车",广东省,佛山市
14,286083,726476,1024659,3C数码,88898514,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,5,2,1,,,,,,,,1,,,,,1,4,,,1,1,,,,,,,1,,1,,1,,1,,1,,1,,,,4,,6,,3,,5,,1,,2,,,5,2,1,2,1,,1,,,1,,1,,,,1,3,3,2,1,4,4,,,2,,款式吸引人,1,2,2,3,3,2,3,4,,,4,2,款式不好看,3,外观颜色,1,1,5,3,三线,低,未知,浙江省,金华市
15,286083,726476,1024659,3C数码,88898515,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,2,4,1,1,,,,,,,,1,,,,,1,4,1,,,1,1,1,,,,,1,1,1,,,,,,1,,,1,,,4,2,5,,,,,,3,,,1,,4,2,1,1,1,1,1,,,1,1,1,,,,1,1,1,2,1,4,1,2,2,,,物超所值，非常有科技感，适合时下年轻人,1,1,1,1,1,1,4,1,1,1,,,高端大气上档次，有科技感，非常有吸引力,1,配色好看，有高端感，让人非常想购买。,1,1,4,3,三线,低,"准备结婚期,育婴期,已育",广东省,中山市
16,286083,726476,1024659,3C数码,88898520,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,2,1,1,,,,,,,,1,,,,,1,5,,,,1,1,1,1,,,,1,1,1,,,1,,1,1,,,1,,,2,3,6,,,1,,4,5,,,7,,2,2,1,2,2,1,1,1,,1,1,,,,,1,2,1,2,2,3,2,2,2,,,防护性更好，配色更丰富，使用体验更方便,1,2,2,2,1,2,4,2,2,2,,,外观设计更好看，比之前其他款式特别,2,更不容易沾指纹，日常使用更美观,2,1,3,4,三线,低,"已婚,育婴期,已有房,已有车",山东省,潍坊市
17,286083,726476,1024659,3C数码,88898521,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,5,1,1,,,,,,,,1,,,,,1,4,1,,1,,1,,,,,,1,1,1,,,1,1,1,1,,1,1,,,5,7,1,,,8,2,9,3,,4,6,,5,1,1,2,2,1,,1,,1,1,,,,,1,1,1,2,2,5,1,2,2,,,超出预算了,1,1,2,1,2,1,5,2,3,,,,太贵了,2,很有吸引力,1,1,3,6,一线,低,未知,北京,北京市
