编号,记录ID,投放ID,人群ID,人群名称,多选题,单选题,单选题,单选题,单选题,多选题,多选题,单选题,多选题,多选题,排序题,单选题,单选题,单选题,单选矩阵题,单选矩阵题,多选题,单选题,单选矩阵题,单选矩阵题,单选题,单选题,单选题,单选题,单选题,单选题,多行文本题,单选题,单选矩阵题,单选矩阵题,单选题,单选题,单选题,单选题,单选题,单选题,多行文本题,单选题,单选题,多行文本题,单选题,单选题,单选题,单选题,城市等级,购买力等级,人生阶段,常用收货省份,常用收货城市
编号,记录ID,投放ID,人群ID,人群名称,过去2年内，您购买过以下哪些产品？,您最近一次购买平板保护套大约是在什么时候？,您最近购买的平板保护套单价大约是多少？,您在购买该平板保护套时的决策角色是？,您目前主要使用的平板电脑品牌是？,您本人或您的亲友是否在以下行业工作？,过去3个月内，您参加过以下哪些类型的调研活动？,您的最高学历是？,您目前使用的平板保护套类型更接近以下哪一种？,您购买平板保护套时，通常会关注哪些因素？,请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）,如果购买一款质量、保护性和外观设计都比较好的iPad平板保护套，在不考虑具体品牌和促销活动的情况下，以下哪个价格区间最符合您的日常心理预期？,未来6个月内，您是否有购买或更换平板保护套的计划？,下面是一款市面上常见的【普通款】旋转磁吸拆分平板保护壳，售价为99元。 该产品支持磁吸拆分、横竖屏旋转和日常支撑使用，可满足看剧、学习、办公等平板使用场景。请根据您自己的真实购买判断作答以下题目。,如果您近期需要购买平板保护套，看到这款99元旋转磁吸拆分平板保护壳，您的购买意愿是？,您认为这款99元旋转磁吸拆分平板保护壳对您的吸引力如何？,您觉得这款产品最吸引您的地方是？,下面是一款在刚才99元【普通款】旋转磁吸拆分平板壳基础上进一步升级的新款产品。该【升级光面款】在保留磁吸拆分、横竖屏旋转和支撑使用功能的基础上，新增了以下三个升级点： ①四角气囊防护外显，提升防摔防磕的安全感； ②重新设计侧面直取笔槽，触控笔可从侧面直接拿取； ③提供更丰富、更个性化的配色选择。 请您先不考虑具体售价，只根据产品外观、功能和使用感受进行判断。,不考虑价格，您对这款升级光面款平板保护套的购买意愿是？,请评价以下升级点对您的吸引力。,相比刚才99元的【普通款】旋转磁吸拆分平板保护壳，如果新款增加“四角气囊防护外显、侧面直取笔槽、个性化配色”这三个升级点，您最多愿意多支付多少钱？,如果这款升级光面款 iPad 平板保护套售价为 119.9 元，您的购买意愿是？,如果同一款升级光面款 iPad 平板保护套售价为 129.9 元，您的购买意愿是？,如果同一款升级光面款 iPad 平板保护套售价为 139.9 元，您的购买意愿是？,如果同一款升级光面款 iPad 平板保护套售价为 109.9 元，您的购买意愿是？,如果同一款升级光面款 iPad 平板保护套售价为 99.9 元，您的购买意愿是？,您愿意或不愿意为这三个升级点多付钱的主要原因是什么,下面是一款在刚才升级光面款基础上进一步升级的【光栅款】平板保护套。 它保留前面【升级光面款】的四角气囊防护外显、侧面直取笔槽和个性化配色，同时将背板进一步升级为光栅纹理背板，具有微磨砂质感，相比普通光面背板更不易沾指纹。 除背板材质和纹理表现外，其他主要功能与升级光面款基本一致。 &nbsp; 请您先不考虑具体售价，只根据产品外观、材质和使用感受进行判断。,不考虑价格，您对这款光栅款平板保护套的购买意愿是？,请评价以下光栅背板特点对您的吸引力。,基于刚才的升级光面款，如果背板进一步升级为了现在这样“光栅纹理、微磨砂质感、不易沾指纹”，您最多愿意额外多支付多少钱？,如果这款光栅款 iPad 平板保护套售价为 129.9 元，您的购买意愿是？,如果这款光栅款 iPad 平板保护套售价为 139.9 元，您的购买意愿是？,如果这款光栅款 iPad 平板保护套售价为 149.9 元，您的购买意愿是？,如果这款光栅款 iPad 平板保护套售价为 119.9 元，您的购买意愿是？,如果这款光栅款 iPad 平板保护套售价为 109.9 元，您的购买意愿是？,您愿意或不愿意为光栅背板多付钱的主要原因是什么？,如果品牌最终只能在以下两款新品中选择一款推出，您更希望购买哪一款？,单题时长,请简单说明您这样选择的主要原因。,您购买数码配件时，是否愿意为外观设计、材质质感或颜色支付更高价格？,您的性别是？,您的年龄是？,您目前的身份/职业是？,城市等级,购买力等级,人生阶段,常用收货省份,常用收货城市
1,是,88844227,726476,1024659,"室内绿植/花卉,桌面收纳,运动鞋,平板电脑保护套/壳,手机贴膜,洗衣液/洗衣凝珠,洗面奶/洁面乳,鼠标/机械键盘,奶茶/咖啡,薯片/膨化食品,抽纸/卷纸,充电宝/移动电源,T恤/裙子,手机壳,贴片面膜,手机充电线/数据线,平板电脑,智能手表/手环",近12个月内,120–149元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,教育/培训/科研,食品/饮料/餐饮类,本科,磁吸不可拆分保护套,"防摔防磕/保护性强,支架稳定/角度好用,不易沾指纹/不易显脏,外观好看/有设计感,材质手感好,颜色选择丰富,轻薄便携,耐用不易坏,与平板搭配协调,品牌可信/品质稳定","品牌可信/品质稳定,防摔防磕/保护性强,材质手感好,与平板搭配协调,支架稳定/角度好用,轻薄便携,外观好看/有设计感,颜色选择丰富,不易沾指纹/不易显脏,耐用不易坏",120-149元,可能会,我已认真阅读,购买意愿: [可能会购买],吸引力: [比较吸引],"外观看起来简洁,支撑看剧/学习/办公",我已认真阅读,购买意愿: [可能会购买],四角气囊防护外显: [比较吸引];侧面直取笔槽: [比较吸引];更丰富、更个性化的配色选择: [比较吸引],愿意多付6-10元,可能会购买,可能会购买,可能会购买,-,-,没有不愿意,我已认真阅读,购买意愿: [说不清],光栅纹理背板的视觉效果: [一般];微磨砂质感: [一般];相比普通光面背板更不易沾指纹: [一般];整体看起来更特别/更有设计感: [一般],愿意多付5元以内,说不清,-,-,可能会购买,-,不太喜欢,13.78s,升级光面款,简洁,有时会,女,25-30岁,自由职业/个体经营,三线,低,未知,湖北省,襄阳市
2,是,88846219,726476,1024659,"桌面收纳,抽纸/卷纸,充电宝/移动电源,运动鞋,手机充电线/数据线,平板电脑保护套/壳,智能手表/手环,鼠标/机械键盘,无线蓝牙耳机,奶茶/咖啡,手机壳",近12个月内,120–149元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,"磁吸不可拆分保护套,旋转可拆分磁吸保护套","材质手感好,外观好看/有设计感,轻薄便携,耐用不易坏,防摔防磕/保护性强,支架稳定/角度好用,价格合适/性价比高","轻薄便携,防摔防磕/保护性强,支架稳定/角度好用,外观好看/有设计感,材质手感好,价格合适/性价比高,耐用不易坏",120-149元,可能会,我已认真阅读,购买意愿: [可能会购买],吸引力: [比较吸引],"磁吸拆分方便,可旋转使用,外观看起来简洁,价格合适",我已认真阅读,购买意愿: [肯定会购买],四角气囊防护外显: [非常吸引];侧面直取笔槽: [比较吸引];更丰富、更个性化的配色选择: [非常吸引],愿意多付16-20元,肯定会购买,肯定会购买,可能会购买,-,-,之前119.9和129.9已经让我先入为主了，觉得这价格很合适，再贵上去就要犹豫一下了，跟升级点倒是没什么关系,我已认真阅读,购买意愿: [肯定会购买],光栅纹理背板的视觉效果: [非常吸引];微磨砂质感: [非常吸引];相比普通光面背板更不易沾指纹: [比较吸引];整体看起来更特别/更有设计感: [非常吸引],愿意多付21元及以上,肯定会购买,肯定会购买,肯定会购买,-,-,我很喜欢这种设计，比之前那种光溜溜的拿起来手感要好很多，而且视觉效果更棒,15.08s,光栅款,光面款比起光栅款，看上去稍显廉价，而且手感不如后者，更何况后者还能防止指纹，视觉效果好很多，显得高级。,有时会,女,36-40岁,企业职员,一线,高,"已婚,育婴期,孝敬期",上海,上海市
3,是,88846224,726476,1024659,"洗衣液/洗衣凝珠,抽纸/卷纸,平板电脑保护套/壳,手机壳,手机充电线/数据线,桌面收纳,无线蓝牙耳机,洗面奶/洁面乳,鼠标/机械键盘,平板电脑,智能手表/手环,薯片/膨化食品,手机贴膜,运动鞋,充电宝/移动电源,T恤/裙子",近12个月内,150–199元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,键盘保护套,"防摔防磕/保护性强,支架稳定/角度好用,触控笔收纳和拿取方便,材质手感好,不易沾指纹/不易显脏,外观好看/有设计感,轻薄便携,品牌可信/品质稳定,价格合适/性价比高,与平板搭配协调,耐用不易坏,颜色选择丰富","耐用不易坏,与平板搭配协调,外观好看/有设计感,支架稳定/角度好用,材质手感好,防摔防磕/保护性强,不易沾指纹/不易显脏,触控笔收纳和拿取方便,价格合适/性价比高,品牌可信/品质稳定,轻薄便携,颜色选择丰富",150-199元,肯定会,我已认真阅读,购买意愿: [可能会购买],吸引力: [比较吸引],"可旋转使用,磁吸拆分方便,支撑看剧/学习/办公,价格合适,外观看起来简洁,保护性较好,品牌/品质感较好",我已认真阅读,购买意愿: [可能会购买],四角气囊防护外显: [非常吸引];侧面直取笔槽: [非常吸引];更丰富、更个性化的配色选择: [比较吸引],愿意多付11-15元,可能会购买,可能会购买,可能会购买,-,-,防护性能更好，笔槽拿取更便捷，适合日常使用,我已认真阅读,购买意愿: [肯定会购买],光栅纹理背板的视觉效果: [非常吸引];微磨砂质感: [非常吸引];相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [非常吸引],愿意多付21元及以上,肯定会购买,肯定会购买,可能会购买,-,-,手感更舒适，更防滑，不留指纹，看着更高级,33.65s,光栅款,视觉效果更好，看上去更高级。同时更防滑，不留指纹,经常会,女,25-30岁,企业职员,二线,低,未知,辽宁省,沈阳市
4,是,88846229,726476,1024659,平板电脑保护套/壳,近12个月内,200元及以上,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,"单壳（不带盖板）保护套,带笔槽保护套,键盘保护套","支架稳定/角度好用,防摔防磕/保护性强,触控笔收纳和拿取方便,轻薄便携,品牌可信/品质稳定","防摔防磕/保护性强,支架稳定/角度好用,轻薄便携,品牌可信/品质稳定,触控笔收纳和拿取方便",120-149元,肯定会,我已认真阅读,购买意愿: [可能会购买],吸引力: [非常吸引],"磁吸拆分方便,保护性较好,可旋转使用",我已认真阅读,购买意愿: [肯定会购买],侧面直取笔槽: [一般];四角气囊防护外显: [非常吸引];更丰富、更个性化的配色选择: [比较吸引],愿意多付6-10元,可能会购买,可能会购买,说不清,-,-,升级不是很明显 更喜欢功能上面的升级 而不是手感,我已认真阅读,购买意愿: [可能会购买],光栅纹理背板的视觉效果: [一般];微磨砂质感: [不太吸引];相比普通光面背板更不易沾指纹: [比较吸引];整体看起来更特别/更有设计感: [比较吸引],愿意多付5元以内,可能会购买,可能不会购买,-,-,-,比起光滑的有点不耐看,26.89s,升级光面款,光面外观的更好看 光滑 ,有时会,女,25-30岁,其他,六线,中等,未知,陕西省,商洛市
5,是,88898325,726476,1024659,"无线蓝牙耳机,平板电脑保护套/壳,室内绿植/花卉,充电宝/移动电源,洗衣液/洗衣凝珠,手机壳,奶茶/咖啡,洗面奶/洁面乳,智能手表/手环,鼠标/机械键盘,贴片面膜,手机贴膜,平板电脑",近12个月内,150–199元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,硕士及以上,键盘保护套,"支架稳定/角度好用,品牌可信/品质稳定,与平板搭配协调,轻薄便携,不易沾指纹/不易显脏,外观好看/有设计感,触控笔收纳和拿取方便,防摔防磕/保护性强,颜色选择丰富,材质手感好,耐用不易坏","品牌可信/品质稳定,支架稳定/角度好用,防摔防磕/保护性强,与平板搭配协调,外观好看/有设计感,材质手感好,轻薄便携,触控笔收纳和拿取方便,耐用不易坏,不易沾指纹/不易显脏,颜色选择丰富",150-199元,可能会,我已认真阅读,购买意愿: [可能会购买],吸引力: [比较吸引],"磁吸拆分方便,支撑看剧/学习/办公,外观看起来简洁,保护性较好,品牌/品质感较好,可旋转使用",我已认真阅读,购买意愿: [肯定会购买],四角气囊防护外显: [非常吸引];侧面直取笔槽: [非常吸引];更丰富、更个性化的配色选择: [比较吸引],愿意多付21元及以上,肯定会购买,肯定会购买,肯定会购买,-,-,升级的电视都在我的喜好上，看起来很好高级，也很好安全,我已认真阅读,购买意愿: [肯定会购买],光栅纹理背板的视觉效果: [非常吸引];微磨砂质感: [非常吸引];相比普通光面背板更不易沾指纹: [比较吸引];整体看起来更特别/更有设计感: [非常吸引],愿意多付16-20元,肯定会购买,肯定会购买,肯定会购买,-,-,增加更多高级感，突显品味,27.08s,光栅款,很好高级，更有质感,经常会,男,25-30岁,企业职员,二线,低,"已婚,育婴期,装修期,已有房",安徽省,合肥市
6,是,88898358,726476,1024659,"充电宝/移动电源,手机壳,平板电脑,室内绿植/花卉,平板电脑保护套/壳,抽纸/卷纸,运动鞋,手机充电线/数据线,智能手表/手环",近12个月内,120–149元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,"带笔槽保护套,磁吸不可拆分保护套,旋转可拆分磁吸保护套","支架稳定/角度好用,防摔防磕/保护性强,轻薄便携,品牌可信/品质稳定,耐用不易坏,材质手感好","品牌可信/品质稳定,防摔防磕/保护性强,材质手感好,轻薄便携,耐用不易坏,支架稳定/角度好用",100-119元,肯定会,我已认真阅读,购买意愿: [肯定会购买],吸引力: [非常吸引],"保护性较好,品牌/品质感较好,磁吸拆分方便,可旋转使用",我已认真阅读,购买意愿: [肯定会购买],四角气囊防护外显: [比较吸引];侧面直取笔槽: [非常吸引];更丰富、更个性化的配色选择: [非常吸引],愿意多付11-15元,肯定会购买,可能会购买,可能会购买,-,-,价值不太值，超出预期,我已认真阅读,购买意愿: [肯定会购买],光栅纹理背板的视觉效果: [非常吸引];微磨砂质感: [非常吸引];相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [非常吸引],愿意多付21元及以上,肯定会购买,肯定会购买,可能会购买,-,-,有点贵，价格不太合适入手,20.54s,升级光面款,价格一样的话，这款比较好看并且方便，不会坏的快，颜色也不错,经常会,女,25-30岁,自由职业/个体经营,一线,偏低,"已婚,育婴期,已育,已有房,已有车",广东省,深圳市
7,是,88898407,726476,1024659,"无线蓝牙耳机,T恤/裙子,洗面奶/洁面乳,薯片/膨化食品,手机充电线/数据线,贴片面膜,抽纸/卷纸,充电宝/移动电源,平板电脑,手机贴膜,鼠标/机械键盘,智能手表/手环,运动鞋,桌面收纳,平板电脑保护套/壳,室内绿植/花卉,奶茶/咖啡,洗衣液/洗衣凝珠,手机壳",近12个月内,120–149元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,"旋转可拆分磁吸保护套,键盘保护套,磁吸不可拆分保护套","防摔防磕/保护性强,外观好看/有设计感,材质手感好,支架稳定/角度好用,品牌可信/品质稳定,不易沾指纹/不易显脏,触控笔收纳和拿取方便,与平板搭配协调,耐用不易坏,轻薄便携,颜色选择丰富","防摔防磕/保护性强,不易沾指纹/不易显脏,支架稳定/角度好用,触控笔收纳和拿取方便,耐用不易坏,与平板搭配协调,品牌可信/品质稳定,轻薄便携,材质手感好,外观好看/有设计感,颜色选择丰富",120-149元,可能会,我已认真阅读,购买意愿: [肯定会购买],吸引力: [非常吸引],"可旋转使用,磁吸拆分方便,支撑看剧/学习/办公,外观看起来简洁,价格合适,保护性较好,品牌/品质感较好",我已认真阅读,购买意愿: [肯定会购买],四角气囊防护外显: [非常吸引];更丰富、更个性化的配色选择: [比较吸引];侧面直取笔槽: [非常吸引],愿意多付16-20元,肯定会购买,肯定会购买,肯定会购买,-,-,四脚气囊升级，平板最容易遇到的以及最心疼的碎屏问题是最最关键的核心，所以愿意多支付,我已认真阅读,购买意愿: [肯定会购买],光栅纹理背板的视觉效果: [非常吸引];微磨砂质感: [比较吸引];相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [非常吸引],愿意多付16-20元,肯定会购买,肯定会购买,肯定会购买,-,-,一机多态，很吸引人，满足平板各个角度使用情况,33.82s,升级光面款,材料质感提升，和日常使用场景更搭，不易沾指纹细节好评,经常会,男,25-30岁,专业人士,一线,偏低,准备结婚期,上海,上海市
8,是,88898423,726476,1024659,"平板电脑,平板电脑保护套/壳,充电宝/移动电源,洗面奶/洁面乳,奶茶/咖啡,运动鞋,手机贴膜,智能手表/手环,手机壳,T恤/裙子,鼠标/机械键盘,抽纸/卷纸,贴片面膜,无线蓝牙耳机",近12个月内,120–149元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,磁吸不可拆分保护套,"防摔防磕/保护性强,价格合适/性价比高,支架稳定/角度好用,触控笔收纳和拿取方便","防摔防磕/保护性强,价格合适/性价比高,支架稳定/角度好用,触控笔收纳和拿取方便",120-149元,肯定会,我已认真阅读,购买意愿: [可能会购买],吸引力: [非常吸引],"价格合适,保护性较好,磁吸拆分方便",我已认真阅读,购买意愿: [可能会购买],四角气囊防护外显: [比较吸引];侧面直取笔槽: [非常吸引];更丰富、更个性化的配色选择: [非常吸引],愿意多付16-20元,可能会购买,可能会购买,说不清,-,-,没钱,我已认真阅读,购买意愿: [说不清],光栅纹理背板的视觉效果: [一般];微磨砂质感: [一般];相比普通光面背板更不易沾指纹: [比较吸引];整体看起来更特别/更有设计感: [一般],愿意多付6-10元,可能会购买,说不清,-,-,-,价格高,6.11s,升级光面款,功能满足,有时会,女,25-30岁,其他,一线,偏高,单身,广东省,深圳市
9,是,88898446,726476,1024659,"薯片/膨化食品,智能手表/手环,洗衣液/洗衣凝珠,鼠标/机械键盘,运动鞋,手机充电线/数据线,洗面奶/洁面乳,桌面收纳,无线蓝牙耳机,手机贴膜,充电宝/移动电源,手机壳,平板电脑保护套/壳,平板电脑,奶茶/咖啡,贴片面膜",近12个月内,120–149元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,"单壳（不带盖板）保护套,磁吸不可拆分保护套,键盘保护套","轻薄便携,与平板搭配协调,耐用不易坏,品牌可信/品质稳定","品牌可信/品质稳定,耐用不易坏,轻薄便携,与平板搭配协调",120-149元,可能会,我已认真阅读,购买意愿: [可能会购买],吸引力: [非常吸引],"磁吸拆分方便,价格合适,保护性较好,品牌/品质感较好",我已认真阅读,购买意愿: [可能会购买],四角气囊防护外显: [非常吸引];侧面直取笔槽: [比较吸引];更丰富、更个性化的配色选择: [比较吸引],愿意多付11-15元,可能会购买,可能会购买,说不清,-,-,愿意从防护和配色轻便角度多付点钱,我已认真阅读,购买意愿: [说不清],光栅纹理背板的视觉效果: [比较吸引];微磨砂质感: [非常吸引];相比普通光面背板更不易沾指纹: [比较吸引];整体看起来更特别/更有设计感: [比较吸引],愿意多付6-10元,说不清,-,-,可能会购买,-,外观设计感不错，防滑和防指纹值得多一点钱,33.28s,升级光面款,比较喜欢光面一些，光栅版花哨了一点,有时会,男,25-30岁,企业职员,二线,低,未知,湖北省,武汉市
